India_PINT.dat                                     AzFile = India_PINTorientaitionfile.az
LAT:  0.00  LON:   0.00 REC:   0 SAM:   0
!
!   ID     TREAT  IC CD    J    CDECL CINCL  GDECL GINCL  BDCEL BINCL  SUSC  V/M
!_______________________________________________________________________________
I527-6C    200.1  Cm  1 151.084 161.0 -38.8  111.1   9.3  111.1   9.3    0    .0
I527-6C    200.1  Cm  1 151.084 160.9 -38.8  111.0   9.3  111.0   9.3    0    .0
I527-7B    200.1  Cm  0 122.581 180.3 -49.5  125.2  12.5  125.2  12.5    0    .0
I527-8C    200.1  Cm  1 91.6611 120.1  52.5  225.7  56.8  225.7  56.8    0    .0
I527-9C    200.1  Cm  1 96.9786 164.3  22.7  230.9  53.8  230.9  53.8    0    .0
I527-10C   200.1  Cm  1 77.7329  63.5  36.9  185.6  33.0  185.6  33.0    0    .0
I531-4B    200.1  Cm  1 177.163   9.7 -12.2   37.2 -43.6   37.2 -43.6    0    .0
I531-5C    200.1  Cm  1 105.754 243.9 -45.2   30.4 -34.8   30.4 -34.8    0    .0
I531-5C    200.1  Cm  1 104.223 242.4 -44.4   29.5 -33.7   29.5 -33.7    0    .0
I531-6B    200.1  Cm  1 221.981 167.7 -43.3   36.7 -37.4   36.7 -37.4    0    .0
I531-6B    200.1  Cm  0 220.731 167.4 -45.6   36.6 -39.7   36.6 -39.7    0    .0
I92-2B     100.2  Cm  1 35.3667 196.2 -16.9   16.3  39.6   16.3  39.6    0    .0
I92-5B     100.2  Cm  1 14.0497 241.6  64.6    0.1  58.3    0.1  58.3    0    .0
I914-8B    100.2  Cm  1 11.3659 318.6 -39.3   99.8 -58.8   99.8 -58.8    0    .0
I1510-6B   100.2  Cm  0 23.1961 344.2 -57.8  349.9 -73.1  349.9 -73.1    0    .0
I1512-2C   100.2  Cm  1  8.3599 351.5 -10.4    9.6 -27.2    9.6 -27.2    0    .0
I1512-3B   100.2  Cm  1 19.2389   1.7 -28.1   41.3 -50.1   41.3 -50.1    0    .0
I1530-3C   100.2  Cm  1 17.6153 305.2 -20.9  292.9 -38.7  292.9 -38.7    0    .0
